Professor,Courses
Jefferson Wille Kielwagen,"ARTS-1050, ARTS-2210, ARTS-2530, ARTS-2560, ARTS-2960, ARTS-2961, ARTS-2962, ARTS-2963, ARTS-2967, ARTS-4210, ARTS-4963, ARTS-6900, IHSS-1960"
Suzanne A Weinstein,"ARTS-2400, ARTS-4400"
Cecilia Levy,"ASTR-2050, PHYS-1100, PHYS-1200"
Melissa Krempa Boles,"BIOL-4260, BIOL-6260"
Erin Mianda Eggleston,BIOL-4320
Xun Wang,"BMED-2540, BMED-4470, BMED-4961, BMED-6470, BMED-6961, ENGR-1100, ENGR-2050, ENGR-2530, ENGR-2600"
Sufei Shi,"CHME-2020, CHME-6610, CHME-6900, CHME-6990, CHME-9990, ECSE-9990, MTLE-9990"
Adrian Earle,COMM-1600
Jeffrey T Werner,COMM-1600
Evan M Skolnick,"COMM-4220, COMM-4240, COMM-4250, COMM-4962"
Miles A Kimball,"COMM-2960, COMM-4420, COMM-4470, COMM-6420, COMM-6510, COMM-9990, ITWS-2210, LITR-2960, LITR-2961"
Thomas Neil Hughes,"CSCI-4350, CSCI-6350, ERTH-4350, ERTH-6350, ITWS-4350, ITWS-6350"
Waleed El-Metwally Abd-elaziz Mohamed El-Sekelly,ENGR-1100
Zhi Liang,ENGR-1100
Casey T. Jakubowski,"CHME-2020, ENGR-2050, ENGR-4010, MANE-2220"
Judith A. Obiero,"ENGR-2050, ENGR-4010, IHSS-1940"
James Elliot Young,"ENGR-2050, ENGR-2250, ENVE-4310, MANE-4020, MANE-4030, MANE-4080, MANE-4230, MANE-4260, MANE-4961, MANE-4962, MANE-6980"
Kevin Yang Shih,"ECON-4110, ECON-4160, ECON-4900"
Yury Yatsynovich,"ECON-2020, ECON-4190, ECON-4900, ECON-4960, ECON-4966, ECON-6190"
Jennifer Ann Pazour,"ISYE-1100, ISYE-4210, ISYE-4250, ISYE-4300, ISYE-4600, ISYE-4941, ISYE-6600, ISYE-6610, ISYE-6900, ISYE-6960, ISYE-6980, ISYE-6990, ISYE-9990"
James David Brooks,ISYE-4280
John Stephen Erickson,"ISYE-4961, ISYE-6961, ITWS-4961, ITWS-6961, MATH-4961, MATH-6961, MATP-4910, MATP-6910"
Thomas Richard Morgan,"ERTH-2100, ISYE-4961, ISYE-6961, ITWS-4961, ITWS-6961, MATH-4961, MATH-6961, MGMT-4190, MGMT-6560, MGMT-6790"
Nishtha Langer,"MGMT-4140, MGMT-4240, MGMT-6140, MGMT-6964, MGMT-7830, MGMT-9990"
Johan Maharjan,"BMED-6961, MGMT-2320, MGMT-2960, MGMT-4340, MGMT-6020, MGMT-6030, MGMT-6190, MGMT-6380, MGMT-6410, MGMT-6770, MGMT-6775, MGMT-6961, MGMT-6963"
Sarah Kathleen Ward,"MGMT-2430, MGMT-4470, MGMT-4490, MGMT-6540, MGMT-6580"
Thomas Michael Begley,"MGMT-4850, MGMT-4860, MGMT-4900, MGMT-6040, MGMT-6840, MGMT-9990"
Thomas D Shohfi,"MGMT-2320, MGMT-4260, MGMT-4310, MGMT-4320, MGMT-4420, MGMT-4941, MGMT-4960, MGMT-6240, MGMT-6420, MGMT-6430, MGMT-6961"
David Reese Wells,"CSCI-4820, MATH-2010, MATH-4100, MATH-4820"
Michael James Jenkinson,"MATH-1020, MATH-2400, MATH-4400, MATH-4500"
Shankar Narayan,"ENGR-2250, MANE-2710, MANE-2940, MANE-2941, MANE-4020, MANE-4730, MANE-4740, MANE-4800, MANE-4940, MANE-4941, MANE-6630, MANE-6900, MANE-6980, MANE-6990, MANE-9990"
Julie Wright Wilson,"ISYE-4230, MANE-6970, MGMT-6960"
Joseph Lee White,"ENGR-4010, USNA-0010, USNA-0020, USNA-0030, USNA-0050, USNA-0070, USNA-2030, USNA-2150, USNA-2170"
Patrick Y Royer,"IHSS-1510, IHSS-1666, IHSS-1967, INQR-1666, PHIL-4962, STSO-4960, STSO-4961, STSS-4963"
Gary Denney,"USAF-2040, USAF-2080"
Annett Beatrix Weichsel,"ARCH-4050, ARCH-4130, ARCH-4910, ARCH-5100, ARCH-6400, ARCH-6750, ARCH-6962"
Valerie Ann Rapson,ASTR-4120
Cuiping Zhao,"BCBP-4770, BIOL-4770, CHEM-4770"
Stephanie Marie Hutchins,"BIOL-1010, BIOL-4270, BIOL-4860"
Alberto Santamaria Pang,"BMED-4460, BMED-6460"
Justin Michael LaPre,"CSCI-2500, CSCI-4220, CSCI-4975, CSCI-6975"
Vasileios Zikas,"CSCI-4230, CSCI-4240, CSCI-4969, CSCI-4972, CSCI-6230, CSCI-6240, CSCI-6966, CSCI-6990, CSCI-9990"
Jeremy Laflin,"ENGR-1100, ENGR-2050, ENGR-2090, MANE-4050, MANE-4100"
Lai Jiang,ENGR-2050
Eugene Wu,ENGR-2250
Kyle Richard Wilt,"ECSE-4050, ECSE-4790, ECSE-6050, ECSE-6980, ENGR-2050, ENGR-2300, ENGR-2350, MANE-4260"
William C Fahey,ENGR-4010
Christine Lynn Tate,"MGMT-4540, MGMT-6260"
Savita Hanspal,MGMT-6550
Michael Joseph Izdebski,"MGMT-6230, MGMT-6966"
Robert Victor Moel,MGMT-6973
Michael David Hughes,"BUSN-6501, ENGR-6970, ISYE-4240, ISYE-6620, MANE-4020, MANE-4180, MANE-4710, MANE-5000, MANE-6630, MANE-6640, MANE-6650, MANE-6970, MANE-6980, MANE-6990"
Ezekiel Jacob Blain,"ENGR-2600, MANE-4350, MANE-4440, MANE-4470, MANE-4961"
Jason Tyler Thompson,MANE-4440
Karen A Lewis,"MANE-1060, MANE-2961, MANE-4220, MANE-4390, MANE-4440"
Esther Alexandra Wertz,"BCBP-9990, CHME-9990, PHYS-1010, PHYS-1100, PHYS-1200, PHYS-1250, PHYS-2620, PHYS-4210, PHYS-4941, PHYS-4962, PHYS-6900, PHYS-6963, PHYS-6980, PHYS-6990, PHYS-9990"
Damien J. West,"PHYS-1100, PHYS-1110, PHYS-1200, PHYS-2940, PHYS-2941, PHYS-2961, PHYS-2962, PHYS-4665, PHYS-4810, PHYS-4940, PHYS-4941, PHYS-4960, PHYS-6520"
Yiyang Sun,PHYS-4810
Jenna L Pitera,ADMN-6700
John E Bales,"USAF-2030, USAF-2040, USAF-2070, USAF-2080"
Brandt Stephen Graves,ARCH-2800
John Rhett Russo,"ARCH-2800, ARCH-2810, ARCH-2820, ARCH-2830, ARCH-4770, ARCH-4780, ARCH-4790, ARCH-4910, ARCH-4920, ARCH-4951, ARCH-4956, ARCH-4958, ARCH-4963, ARCH-4965, ARCH-4968, ARCH-5200, ARCH-6967, ARCH-6968"
Holger Siegfried Schulze Ehring,"ARCH-4020, CIVL-4020, CIVL-6340"
William Joseph Mac Donald,"ARCH-4260, ARCH-4770, ARCH-4780"
Pedro Rafael Pachano,ARCH-4820
Richard Peckham,ARCH-5390
Nina Carmela Young,"ARTS-1440, ARTS-2150, ARTS-2400, ARTS-4390, ARTS-6960, IHSS-1010"
Pedro A. Coronado,"ARTS-2962, ARTS-4961"
Charles Harold Martin,"ASTR-1520, ASTR-1540, ASTR-1960, ASTR-2120, ASTR-6970, PHYS-1100, PHYS-1101, PHYS-1110, PHYS-1200, PHYS-1250, PHYS-1960, PHYS-1962, PHYS-2160, PHYS-2210, PHYS-2963, PHYS-4160, PHYS-4161, PHYS-4330, PHYS-6980, PHYS-9990"
Jennifer Marie Hurley,"BCBP-4240, BCBP-4660, BCBP-4961, BCBP-6240, BCBP-6650, BCBP-6961, BCBP-6970, BCBP-9990, BIOL-2900, BIOL-4240, BIOL-4660, BIOL-4941, BIOL-4961, BIOL-4965, BIOL-4990, BIOL-6240, BIOL-6650, BIOL-6920, BIOL-6930, BIOL-6961, BIOL-6965, BIOL-6970, BIOL-9990, BMED-4670, BMED-6670, BMED-6961, BMED-6980"
Paiyz Esmat Mikael,"BIOL-6550, BMED-4650, BMED-6650, BMED-6700"
Kevin Christopher Rose,"BIOL-4200, BIOL-4500, BIOL-4850, BIOL-4880, BIOL-4941, BIOL-6500, BIOL-6880, BIOL-6900, BIOL-6962, BIOL-6970, BIOL-6971, BIOL-6990, BIOL-9990"
Deva D. Chan,"BMED-2540, BMED-4280, BMED-4960, BMED-4962, BMED-6280, BMED-6960, BMED-6962, BMED-6980, BMED-6990, BMED-9990"
Jacob Thomas Shelley,"CHEM-1100, CHEM-2110, CHEM-2941, CHEM-4110, CHEM-4130, CHEM-4941, CHEM-4961, CHEM-4970, CHEM-6130, CHEM-6520, CHEM-6900, CHEM-6950, CHEM-6961, CHEM-6970, CHEM-6990, CHEM-9990, ERTH-1510, ERTH-4940, ERTH-4970, ERTH-4980, ISCI-1510, ISCI-4510, ISCI-4610, ISCI-6510"
Steven A. Tysoe,"CHEM-1100, CHEM-1110, CHEM-1120, CHEM-1200, CHEM-1210, CHEM-1960, CHEM-2230, CHEM-2240, CHEM-2830, CHEM-2961, CHEM-4200, CHEM-4530, CHEM-4961, CHEM-4964, CHEM-6200"
Craig Thomas D'Allaird,CIVL-1200
David Adam Banks,"COMM-1510, STSH-4962, STSH-4980, STSS-4972, STSS-4980"
Maurice W Suckling,"COMM-2520, COMM-4240, COMM-4250, COMM-4941, COMM-4962, COMM-9990, GSAS-2520, GSAS-2960, GSAS-4240, GSAS-4250, GSAS-4941, GSAS-4960, GSAS-4961, GSAS-4990, GSAS-6200, GSAS-6961, GSAS-6980, GSAS-9990"
Erica Ann Eberwein,"CSCI-1100, CSCI-1200, CSCI-1940, CSCI-2200, CSCI-2600, CSCI-4210"
Samuel Bernt Johnson,"CSCI-4380, ITWS-4250, ITWS-4960, ITWS-6250, ITWS-6960"
Bernadette Mary O'Brien,"CSCI-4650, CSCI-4970, CSCI-6965"
Robert Michael Cannistra,CSCI-4660
George M. Slota,"CSCI-2500, CSCI-4260, CSCI-4280, CSCI-4941, CSCI-4963, CSCI-4964, CSCI-4974, CSCI-6280, CSCI-6963, CSCI-6964, CSCI-6971, CSCI-6980, CSCI-6990, CSCI-9990, MATH-4150"
Omar Osama El-Shafee,"CIVL-4010, CIVL-4150, CIVL-6990, ENGR-1100, ENGR-2050, ENGR-2530"
Larry David Oligny,"ENGR-1300, ENGR-2720, ENGR-2940, ENGR-2960, ENGR-4710, ENGR-4720, MANE-4610, MANE-4620"
Chad Edward Christensen,"CHME-2020, ENGR-2050, ENGR-4010"
Karyn K. Dyer,"ENGR-2050, ENGR-4010"
Scott Gordon Ghiocel,"ECSE-4440, ECSE-4500, ECSE-4510, ECSE-6400, ECSE-6500, MANE-4962, MANE-4964, MANE-6600, MANE-6962"
Linda Kresge,"ISYE-4210, ISYE-6970, MANE-4550, MANE-4670, MANE-5000, MANE-6630, MANE-6970, MANE-6990, MGMT-6450"
Joseph Klobusicky,"ISYE-4750, MATH-2400, MATP-4600"
Kathleen Sturey Fontaine,"COMM-4420, COMM-6420, ITWS-2210, ITWS-4250, ITWS-4310, ITWS-4320, ITWS-4941, ITWS-4960, ITWS-6250, ITWS-6440, ITWS-6962, ITWS-6980"
Brian Joseph Woods,"COMM-4570, IHSS-1240"
Cynthia Theresa Cook,"IHSS-1430, IHSS-1961, IHSS-1963, IHSS-1966, IHSS-1973, PHIL-4500, STSH-2960, STSH-2961, STSH-4250, STSH-4400, STSH-4520, STSS-1520, STSS-2400, STSS-2520, STSS-2961, STSS-4250, STSS-4400, STSS-4520"
Shan Yu,"MGMT-2430, MGMT-4490, MGMT-4965, MGMT-6540, MGMT-6965, MGMT-7810, MGMT-9990"
Bruce D Hunter,MGMT-4470
Mert Hakan Hekimoglu,"MGMT-4080, MGMT-4100, MGMT-6080, MGMT-6330, MGMT-6460, MGMT-6963, MGMT-7820, MGMT-9990"
Philip William LaBatte,MGMT-6840
Ronald Frank,"MGMT-7050, MGMT-7060"
Derek Alan Olson,"MATH-1020, MATH-2400, MATH-4600"
Jesse James Herbert,"MATH-1020, MGMT-6100"
Raja K Kountanya,MANE-4550
Hyun Gook Kang,"ENGR-2600, MANE-2400, MANE-2940, MANE-2941, MANE-4360, MANE-4400, MANE-4940, MANE-4941, MANE-4964, MANE-6360, MANE-6980, MANE-6990, MANE-9990"
Matthew R. Buechner,"USNA-1010, USNA-2040, USNA-2070"
Paola Nidia Alboni,PHYS-1100
Daniel Allen Lyles,"PSYC-4960, STSH-4961, STSO-4100, STSS-4100, STSS-4967, STSS-4970, STSS-4972"
Arielle Serena Roberts,ADMN-1962
David W. Milford,ADMN-1962
Paul E Nooney,ADMN-1962
Shante Leora Brown,ADMN-1962
Cooper Steele,"USAF-0010, USAF-0020, USAF-0030, USAF-0050, USAF-1010, USAF-1020, USAF-2050, USAF-2060"
Parker Barnes Bunce,ARCH-2810
Jeremy Patrick McDonald,"ARCH-4740, ARCH-5360"
Ivi Diamantopoulou,ARCH-6680
Jon Cohrs,"ARTS-1040, ARTS-2230"
Aleksandra Labinska,ARTS-2962
Andrew Brian Larson,ARTS-2962
Elissa Marie Harrigan,"ARTS-2750, ARTS-2962"
Jingwen Tu,"ARTS-2750, ARTS-2962"
Julia Anne Kitty Isabelle Den Boer,ARTS-2962
Margaret Conley Harwood,"ARTS-2750, ARTS-2962"
Mustafa Arda Cabaoglu,ARTS-2962
Patrick O'Connell,"ARTS-2750, ARTS-2962"
Thomas J. Gerbino,"ARTS-2750, ARTS-2962"
Lisa Marie Martin,CHME-6963
Filbert Totsingan,"CHEM-1100, CHEM-1110, CHEM-1120, CHEM-1200, CHEM-2230, CHEM-2240, CHEM-2250, CHEM-2290, CHEM-2941, CHEM-4530, CHEM-4820, CHEM-4930, CHEM-4941, CHEM-4962, CHEM-4964, CHEM-6210, CHEM-6964"
Xiaozheng He,"CIVL-1300, CIVL-2030, CIVL-4660, CIVL-6260, CIVL-6270, CIVL-6990, CIVL-9990"
William Paul Hicks,"COGS-2520, COMM-1600"
Christopher L. McEvoy,"COGS-4550, GSAS-4550"
Oliver Winston Layton,COGS-6967
Weina Ran,"COMM-1510, COMM-2520, COMM-4188, COMM-4288, COMM-4960, COMM-4962, COMM-4963, IHSS-1560, WRIT-1110, WRIT-4170"
Jasmine A. Plum,"CSCI-1200, CSCI-2500, CSCI-4210, CSCI-4220, CSCI-4310, CSCI-4964, CSCI-4969, CSCI-6310, CSCI-6966, CSCI-6980, CSCI-6990"
Melissa Natalie Hay,"CSCI-4400, CSCI-6400, ERTH-4400, ERTH-6400, ITWS-1100, ITWS-4100, ITWS-4400, ITWS-4600, ITWS-6400, ITWS-6600, ITWS-6800"
Alex Algernon Theodore Gittens,"CSCI-2200, CSCI-4030, CSCI-4140, CSCI-4180, CSCI-4941, CSCI-4961, CSCI-4962, CSCI-4968, CSCI-4971, CSCI-6220, CSCI-6960, CSCI-6961, CSCI-6962, CSCI-6968, CSCI-6969, CSCI-6971, CSCI-6980, CSCI-6990, CSCI-9990, ECSE-9990"
Mahmood A. Hameed,"ECSE-1010, ECSE-2410, ECSE-2610, ECSE-2660, ECSE-4520, ECSE-4560, ECSE-6560, ENGR-2300, MATH-2010"
Stephanie Lynn Dosiek,"ERTH-1200, ERTH-1250"
Vivek Ghosal,"ECON-4150, ECON-4290, ECON-4960, ECON-6150, ECON-6290, ECON-6960"
George Gela,"ECSE-2050, ECSE-4080, ECSE-4110, ECSE-4900, ECSE-6110, ECSE-6966, ENGR-1100, ENGR-2050"
Kenneth F Santucci,MGMT-4850
Ravishankar Sundararaman,"ASTR-6970, CHEM-1600, CSCI-4973, CSCI-6960, CSCI-6973, ENGR-1600, ENGR-2600, ISCI-1600, MTLE-2040, MTLE-2960, MTLE-4730, MTLE-4941, MTLE-4960, MTLE-6120, MTLE-6730, MTLE-6900, MTLE-6960, MTLE-6980, MTLE-6990, MTLE-9990, PHYS-1600, PHYS-1940, PHYS-2940, PHYS-2941, PHYS-4940, PHYS-4941, PHYS-9990"
Mamadou Lamine Diagne,"ENGR-2090, MANE-4050, MANE-4500, MANE-4510, MANE-6962, MANE-6964, MANE-6980, MANE-6990, MANE-9990"
Francisco J Cunha,"MANE-4080, MANE-4140, MANE-5000, MANE-6140, MANE-6170, MANE-6460, MANE-6520, MANE-6540, MANE-6720, MANE-6790, MANE-6960, MANE-6964, MANE-6966, MANE-6970"
Jonathan E Leo,"USNA-2020, USNA-2050, USNA-2060"
Christopher Patrick Caulfield,PHIL-4965
Daniel Chapman Lander,"CIVL-2050, CIVL-2060, CIVL-4962, CIVL-6390, ENGR-2050, ENGR-2250, ENVE-4310, STSH-4960, STSS-4960"
Dominick Richard Pilla,"ARCH-2330, ARCH-4330, ARCH-4962, ARCH-5140, ARCH-5150, CIVL-4450"
Matthew Joseph Lopez,"ADMN-1100, ARCH-1940, ARCH-2160, ARCH-2540, ARCH-2550, ARCH-2800, ARCH-2810, ARCH-2830, ARCH-2940, ARCH-4200, ARCH-4770, ARCH-4780, ARCH-4790, ARCH-4820, ARCH-4940, ARCH-4970, ARCH-4971, ARCH-4972, ARCH-4973, ARCH-4974, ARCH-4975, ARCH-4977, ARCH-4978, ARCH-4979, ARCH-5170, ARCH-5210"
William Miguel Virgil,"ARCH-2800, ARCH-2830, ARCH-4770, ARCH-4780, ARCH-4790, ARCH-4910, ARCH-4920, ARCH-4964, ARCH-4971"
Christianna Grace Bennett,"ARCH-1940, ARCH-2800, ARCH-2810, ARCH-2820, ARCH-2940, ARCH-4050, ARCH-4770, ARCH-4780, ARCH-4790, ARCH-4910, ARCH-4920, ARCH-4940, ARCH-4941, ARCH-4963, ARCH-4973, ARCH-4974, ARCH-4975, ARCH-4977, ARCH-4978, ARCH-4979, ARCH-6680, ARCH-6750, ARCH-6900, ARCH-6948, ARCH-6963, ARCH-6980"
Thomas Richard Verebes,"ARCH-4050, ARCH-4770, ARCH-4780, ARCH-4790, ARCH-6962"
Alicia Anne Imperiale,"ARCH-4120, ARCH-4130, ARCH-6400, ARCH-6680, ARCH-6810"
Gabrielle Eve Brainard,"ARCH-4520, ARCH-4560, ARCH-4830, ARCH-4960, ARCH-5340, ARCH-6620, CIVL-4961"
Matthew James Slattery,"ARCH-4770, ARCH-4780, ARCH-4790"
Bradley Scott Horn,"ARCH-6750, ARCH-6948"
Matthew William Goodheart,"ARTS-1380, ARTS-1440, ARTS-1960, ARTS-2020, ARTS-2380, ARTS-2940, ARTS-2960, ARTS-2963, ARTS-2964, ARTS-4160, ARTS-4380, ARTS-4390, ARTS-4880, ARTS-4960, ARTS-6960, ARTS-6963, ARTS-6965, ARTS-9990, IHSS-1080, IHSS-1960, IHSS-1962"
David Allen,ARTS-2340
Keylon Levere Cheeseman,"BCBP-4760, BCBP-4770, BIOL-1015, BIOL-2125, BIOL-4760, BIOL-4770, CHEM-4760, CHEM-4770"
Laura Manno Christian,"BCBP-4710, BIOL-2120, BIOL-4710, BIOL-4720, BIOL-4740, BIOL-4963"
Scott Thomas Forth,"BCBP-4990, BCBP-9990, BIOL-2941, BIOL-4260, BIOL-4941, BIOL-6260, BIOL-6900, BIOL-6960, BIOL-6970, BIOL-9990"
Marvin D Bentley,"BCBP-9990, BIOL-4140, BIOL-4150, BIOL-4941, BIOL-6140, BIOL-6150, BIOL-6900, BIOL-6920, BIOL-6930, BIOL-6960, BIOL-6965, BIOL-9990"
Pingkun Yan,"BMED-2050, BMED-2960, BMED-4260, BMED-4460, BMED-4500, BMED-4941, BMED-4960, BMED-4962, BMED-6460, BMED-6800, BMED-6960, BMED-6962, BMED-6980, BMED-6990, BMED-9990"
Corey Christopher Woodcock,"CHME-1010, CHME-2941, CHME-4010, CHME-4020, CHME-4100, CHME-4160, CHME-4941, CHME-4968, CHME-6510, CHME-6963, CHME-6980, ENGR-2050, ENGR-2250, MANE-2720, MANE-4800"
Miao Do Not Use - Yu,CHME-9990
Hui Su,"CSCI-4964, CSCI-6964, CSCI-6980, CSCI-6990, CSCI-9990"
Jianxi Gao,"CSCI-2300, CSCI-2940, CSCI-4940, CSCI-4941, CSCI-4961, CSCI-4962, CSCI-4964, CSCI-4966, CSCI-4977, CSCI-6961, CSCI-6962, CSCI-6964, CSCI-6966, CSCI-6971, CSCI-6980, CSCI-6990, CSCI-9990, PHYS-2940, PHYS-2941, PHYS-4940, PHYS-4941"
Aniket Tekawade,"CHME-6830, ENGR-1100, ENGR-2250, MANE-4750, MANE-6830"
Amy Corron Youmans,"CHME-2020, ENGR-2050, ENGR-4010, IHSS-2960, IHSS-4960, MANE-6962"
John Francis Drazan,"ENGR-2050, ENGR-2090"
Susan Victoria Henry,"CHME-2020, ENGR-1010, ENGR-2050, ENGR-4010, MANE-2220, MANE-4220, MANE-4250"
Rajendra P Dahal,"ENGR-2600, PHYS-1100, PHYS-1200"
Jianjing Lin,"ECON-4210, ECON-4220, ECON-4570, ECON-4963, ECON-4967, ECON-6210, ECON-6220, ECON-6560, ECON-6963, ECON-6967"
Jason Ung Huh,"ECON-2100, ECON-2960, ECON-4170, ECON-4280, ECON-4940, ECON-4941, ECON-4960, ECON-4962, ECON-4966, ECON-6170, ECON-6280, ECON-6820, ECON-6960, ECON-6966, ECON-6990"
Chad Daniel Stecher,"ECON-4961, ECON-4962, ECON-4964, ECON-6961, ECON-6962, ECON-6964"
Luigi Vanfretti,"ECSE-2110, ECSE-2941, ECSE-4110, ECSE-4170, ECSE-4941, ECSE-4961, ECSE-4965, ECSE-6110, ECSE-6170, ECSE-6190, ECSE-6961, ECSE-6980, ECSE-6990, ECSE-9990"
Sergio Daniel Goncalves Melo Pequito,"ECSE-6990, ECSE-9990, ISYE-4600, ISYE-4960, ISYE-6100, ISYE-6610, ISYE-6960, ISYE-6990, ISYE-9990"
Yangyang Xu,"ISYE-6780, MATH-1900, MATH-6490, MATH-6980, MATH-9990, MATP-4820, MATP-6600, MATP-6610, MATP-6960, MATP-6961"
Eric Drumheller Schaffer,"IHSS-1240, IHSS-1310, IHSS-1974, STSH-1110, STSH-2960, STSH-2962, STSH-4300, STSH-4961, STSO-1110, STSO-2100, STSO-2300, STSO-2520, STSO-4990, STSS-1110, STSS-2300, STSS-2520, STSS-4560, STSS-4961"
Justin Wen-Lo Yang,"ARTS-2020, ARTS-2960, ARTS-2964, ARTS-2966, IHSS-1963, IHSS-1965"
Kate Elizabeth Sohasky,"IHSS-1320, IHSS-1410, IHSS-1500, IHSS-1973, STSH-2310, STSH-2410, STSH-2500, STSH-2960, STSH-2962, STSH-4420, STSH-4960, STSH-4962, STSH-4964, STSS-2310, STSS-4970"
Susan Lynn Smith,"IHSS-1150, IHSS-1160, IHSS-1492, IHSS-1976, IHSS-1977, IHSS-1978, IHSS-1979, IHSS-4960, INQR-1150, INQR-1160, ISCI-4960, PHIL-4240, PHIL-4500, PHIL-4940, PHIL-4960, PHIL-4990, PHIL-6940, STSH-4250, STSO-4250"
Raquel Velho,"IHSS-1610, IHSS-2610, INQR-1610, STSH-4970, STSH-4980, STSH-4990, STSO-4970, STSO-6010, STSO-6120, STSO-6960, STSO-9990, STSS-4961, STSS-4970, STSS-6010, STSS-6960, STSS-6961, STSS-9990"
Michael Lucas Lachney,IHSS-4964
Christopher Rhea Meyer,"MGMT-1100, MGMT-4520, MGMT-4870, MGMT-4963, MGMT-6620"
Christopher C. Farr,MGMT-2100
Gaurav Jain,"MGMT-2100, MGMT-2430, MGMT-4460, MGMT-4470, MGMT-6550, MGMT-6800, MGMT-6940, MGMT-9990"
Ezgi Karabulut,"MGMT-2100, MGMT-2510, MGMT-4100, MGMT-6100, MGMT-6790"
Gopal Sundaramoorthy,MGMT-4962
Olugbenga M. Anubi,MGMT-6460
Douglas John Dinon,"MGMT-7050, MGMT-7060"
Stephanie Yoo Jung DiPalma,"MGMT-7230, MGMT-7240, MGMT-7770, MGMT-7780"
John A. Christian,"MANE-1060, MANE-4100, MANE-4250, MANE-4850, MANE-6960, MANE-6962, MANE-6980, MANE-6990, MANE-9990"
Andrew M Beal,"USAR-0010, USAR-0020, USAR-0040, USAR-0050, USAR-0060, USAR-0070, USAR-0080, USAR-1010, USAR-1020, USAR-2020, USAR-2060, USAR-2070, USAR-4010, USAR-4020, USNA-2150"
Michael D. Culligan,"USNA-0010, USNA-0020, USNA-2030, USNA-2150, USNA-2170"
Shane M. Moison,"USNA-1010, USNA-2040, USNA-2060"
Sarah Virginia Seeley,"COMM-2120, COMM-2960, WRIT-1110, WRIT-2110"
Nanjie Caihua,ADMN-1962
Mae-Ling Jovenes Lokko,"ARCH-2360, ARCH-2800, ARCH-4510, ARCH-4530, ARCH-4770, ARCH-4780, ARCH-5310, ARCH-6320, ARCH-6330, ARCH-6980, ARCH-6990"
David Jonathon Pacheco,"ARCH-1940, ARCH-2940, ARCH-4540, ARCH-4550, ARCH-4940, ARCH-5380, ARCH-5390"
Alexandros Tsamis,"ARCH-4580, ARCH-4770, ARCH-4780, ARCH-6310, ARCH-6340, ARCH-6350, ARCH-6360, ARCH-6910, ARCH-6920, ARCH-6980, ARCH-6990, ARCH-9990"
Jeffrey s. Olson,"ARCH-4590, ARCH-5330"
Elizabeth Press,"ARTS-1030, ARTS-2010, ARTS-2960, ARTS-4050, ARTS-4630, ARTS-4960, ARTS-6966, IHSS-1030, IHSS-1987, INQR-1030"
Graeme S. Francis,"ARTS-2750, ARTS-2962"
Karlinda D. Caldicott,"ARTS-2750, ARTS-2962"
Ronald C. Hedden,"CHME-2020, CHME-4030, CHME-4050, CHME-4150, CHME-4160, CHME-4500, CHME-4610, CHME-4965, CHME-6990, ENGR-2250"
Matthew Charles Titus,"CHME-4030, CHME-4050"
Runye H. Zha,"ARTS-2964, BCBP-9990, CHME-2941, CHME-4170, CHME-4941, CHME-4967, CHME-6900, CHME-6961, CHME-6963, CHME-6990, CHME-9990, ENGR-2964"
Miao Yu,"CHME-4040, CHME-4964, CHME-6964, CHME-6990, CHME-9990"
Konstantin Kuzmin,"CSCI-1100, CSCI-1700, CSCI-2200, CSCI-2500, CSCI-2600, CSCI-2700, CSCI-2960, CSCI-2961, CSCI-4380, CSCI-4430, CSCI-4700, CSCI-4850, CSCI-4960, CSCI-4963, CSCI-4968, CSCI-4969, CSCI-6980, ITWS-4850"
Spencer Michael Scott,"ENGR-1100, ENGR-2050, ENGR-2250, ENGR-2530, MANE-4470, MANE-4960, MANE-6320"
Fotios Kopsaftopoulos,"ECSE-6980, ENGR-2090, MANE-1060, MANE-2940, MANE-2941, MANE-4060, MANE-4940, MANE-4941, MANE-4960, MANE-6960, MANE-6966, MANE-6980, MANE-6990, MANE-9990"
Joana Maria Rosado Dasilva Coelho,"ENGR-2600, ISYE-4140, ISYE-4961"
Uzma Mushtaque,"CSCI-1010, CSCI-1100, CSCI-1700, CSCI-2200, CSCI-2700, CSCI-2940, CSCI-2941, CSCI-4100, CSCI-4170, CSCI-4940, CSCI-4941, CSCI-4962, CSCI-4967, CSCI-6100, CSCI-6170, CSCI-6962, CSCI-6967, CSCI-6980, CSCI-6990, ENGR-2600, ISYE-6620"
Aric W. Krause,"BUSN-6325, ENGR-6100, ENGR-6200, ENGR-6205"
Huaming Peng,"ECON-2020, ECON-4280, ECON-4570, ECON-6280, ECON-6560, ECON-6740"
Chengjiang Long,ECSE-6610
Ruth Isabel Murrugarra,"ISYE-4230, ISYE-4320, ISYE-6010, ISYE-6210"
Richard Deepak Cletus,MGMT-4150
Philip Marc Lurie,"MGMT-4450, MGMT-6720"
Margaret Mary Keyes,MGMT-4870
Kristen J. Johnston,"USNA-1010, USNA-2020"
Jeffrey A. Joseph,USNA-4190
Christopher Robert Sims,"COGS-4230, COGS-4941, COGS-4961, COGS-6230, COGS-6961, COGS-6980, COGS-6990, COGS-9990, CSCI-6990, PSYC-4350, PSYC-4370, PSYC-4450, PSYC-4960"
